source_text,target_text
000300000006000100000001,00030000000400010101
000400000006000500000000,000400000006000500000000
000500000006000100000001,00050000000400010100
000600000006000100010001,00060000000400010100
00070000000600050001ff00,00070000000600050001ff00
000800000006000100010001,00080000000400010101
000900000006000500010000,000900000006000500010000
000a00000006000100010001,000a0000000400010100
000b00000006000100000001,000b0000000400010100
000c00000008000f000000010100,000c00000006000f00000001
000d00000006000100000001,000d0000000400010100
000e00000008000f000000010101,000e00000006000f00000001
000f00000006000100000001,000f0000000400010101
001000000006000100010001,00100000000400010100
001100000008000f000100010100,001100000006000f00010001
001200000006000100010001,00120000000400010100
001300000008000f000100010101,001300000006000f00010001
001400000006000100010001,00140000000400010101
001500000006000100000001,00150000000400010101
001600000008000f000000020100,001600000006000f00000002
001700000006000100000001,00170000000400010100
001800000008000f000000020102,001800000006000f00000002
001900000006000100000001,00190000000400010100
001a00000008000f000000020101,001a00000006000f00000002
001b00000006000100000001,001b0000000400010101
001c00000008000f000000020103,001c00000006000f00000002
001d00000006000100000001,001d0000000400010101
001e00000006000100010001,001e0000000400010101
001f00000008000f000100020100,001f00000006000f00010002
002000000006000100010001,00200000000400010100
002100000008000f000100020102,002100000006000f00010002
002200000006000100010001,00220000000400010100
002300000008000f000100020101,002300000006000f00010002
002400000006000100010001,00240000000400010101
002500000008000f000100020103,002500000006000f00010002
002600000006000100010001,00260000000400010101
002700000006000300000001,0027000000050003020000
002800000006000600000000,002800000006000600000000
002900000006000300000001,0029000000050003020000
002a00000006000600000005,002a00000006000600000005
002b00000006000300000001,002b000000050003020005
002c00000006000600000009,002c00000006000600000009
002d00000006000300000001,002d000000050003020009
002e00000006000300010001,002e000000050003020000
002f00000006000600010000,002f00000006000600010000
003000000006000300010001,0030000000050003020000
003100000006000600010005,003100000006000600010005
003200000006000300010001,0032000000050003020005
003300000006000600010009,003300000006000600010009
003400000006000300010001,0034000000050003020009
003500000006000300000001,0035000000050003020009
003600000009001000000001020000,003600000006001000000001
003700000006000300000001,0037000000050003020000
003800000009001000000001020004,003800000006001000000001
003900000006000300000001,0039000000050003020004
003a00000009001000000001020009,003a00000006001000000001
003b00000006000300000001,003b000000050003020009
003c00000006000300010001,003c000000050003020009
003d00000009001000010001020000,003d00000006001000010001
003e00000006000300010001,003e000000050003020000
003f00000009001000010001020007,003f00000006001000010001
004000000006000300010001,0040000000050003020007
004100000009001000010001020009,004100000006001000010001
004200000006000300010001,0042000000050003020009
004300000006000300000002,00430000000700030400090009
00440000000b0010000000020400000000,004400000006001000000002
004500000006000300000002,00450000000700030400000000
00460000000b0010000000020400000004,004600000006001000000002
004700000006000300000002,00470000000700030400000004
00480000000b0010000000020400000009,004800000006001000000002
004900000006000300000002,00490000000700030400000009
004a0000000b0010000000020400040000,004a00000006001000000002
004b00000006000300000002,004b0000000700030400040000
004c0000000b0010000000020400040004,004c00000006001000000002
004d00000006000300000002,004d0000000700030400040004
004e0000000b0010000000020400040009,004e00000006001000000002
004f00000006000300000002,004f0000000700030400040009
00500000000b0010000000020400090000,005000000006001000000002
005100000006000300000002,00510000000700030400090000
00520000000b0010000000020400090004,005200000006001000000002
005300000006000300000002,00530000000700030400090004
00540000000b0010000000020400090009,005400000006001000000002
005500000006000300000002,00550000000700030400090009
005600000006000300010002,00560000000700030400090000
00570000000b0010000100020400000000,005700000006001000010002
005800000006000300010002,00580000000700030400000000
00590000000b0010000100020400000005,005900000006001000010002
005a00000006000300010002,005a0000000700030400000005
005b0000000b0010000100020400000009,005b00000006001000010002
005c00000006000300010002,005c0000000700030400000009
005d0000000b0010000100020400050000,005d00000006001000010002
005e00000006000300010002,005e0000000700030400050000
005f0000000b0010000100020400050005,005f00000006001000010002
006000000006000300010002,00600000000700030400050005
00610000000b0010000100020400050009,006100000006001000010002
006200000006000300010002,00620000000700030400050009
00630000000b0010000100020400090000,006300000006001000010002
006400000006000300010002,00640000000700030400090000
00650000000b0010000100020400090005,006500000006001000010002
006600000006000300010002,00660000000700030400090005
00670000000b0010000100020400090009,006700000006001000010002
006800000006000300010002,00680000000700030400090009
006900000006000100020001,00690000000400010101
006a0000000600050002ff00,006a0000000600050002ff00
006b00000006000500020000,006b00000006000500020000
006c000000060001bc4a0001,006c00000003008102
006d000000060005bc4aff00,006d00000003008502
006e000000060005bc4a0000,006e00000003008502
006f000000060001ffff0001,006f00000003008102
0070000000060005ffffff00,007000000003008502
0071000000060005ffff0000,007100000003008502
007200000006000100020001,00720000000400010100
00730000000600050002ff00,00730000000600050002ff00
007400000006000100020001,00740000000400010101
00750000000600050002ff00,00750000000600050002ff00
007600000006000100020001,00760000000400010101
00770000000600050002ff00,00770000000600050002ff00
007800000006000100020001,00780000000400010101
00790000000600050002ff00,00790000000600050002ff00
007a00000006000100020001,007a0000000400010101
007b0000000600050002ff00,007b0000000600050002ff00
007c00000006000100020001,007c0000000400010101
007d0000000600050002ff00,007d0000000600050002ff00
007e00000006000100020001,007e0000000400010101
007f0000000600050002ff00,007f0000000600050002ff00
008000000006000100020001,00800000000400010101
